Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Work on
farm","Work off
farm"," Not
 employed   ","Female
 work
on farm","Importance
of farming
0:not atll Impornt
1:importnt
2:Very impornt","Crop Net
Income",t4,r4
2,8,67.474863,33.039918,2587.02124,0,0,1,0,1,0,1,70,1,0,6,1,2,35750,8.6463305,57.3030635
2,8,67.637297,33.124892,2615.432861,0,0,1,0,1,1,1,74,2,0,1,1,2,-3500,7.83072775,69.5795135
2,8,67.409282,33.277962,2946.410156,1,1,0,0,1,1,1,20,4,0,6,3,2,37650,5.07161325,103.3655073
2,8,67.56296,32.999755,2490.602295,0,1,0,0,0,0,1,60,1,0,7,1,2,-16900,9.461774,46.70754725
2,8,67.536057,32.946308,2425.797363,0,1,1,0,0,0,1,76,3,0,12,2,1,10850,10.0010475,40.0787115
2,8,67.211708,33.200123,2977.356201,0,0,1,0,1,1,1,60,3,0,7,2,2,8900,5.1252595,97.19409
2,8,67.413148,32.972508,2546.11377,0,0,0,0,1,1,1,32,2,0,10,1,2,19600,9.0755395,53.7091865
2,8,67.551465,33.181787,2722.486816,0,0,0,0,1,1,1,33,1,1,1,1,2,-2250,6.4628,89.16145725
2,8,67.53747,32.953495,2442.325684,0,1,1,1,1,0,1,80,1,0,6,0,2,2950,9.8786145,41.33291925
2,8,67.531185,32.952843,2442.325684,0,1,0,0,0,0,1,75,0,1,10,1,2,2200,9.8786145,41.33291925
2,8,67.531058,32.95287,2442.325684,0,1,0,0,1,1,1,56,0,2,9,1,2,-1000,9.8786145,41.33291925
2,8,67.384137,33.249272,2936.831055,1,0,1,0,1,0,1,32,2,0,4,1,2,-1500,5.225954,102.0370445
2,8,67.409592,33.2774,2946.410156,1,1,1,0,1,1,1,52,3,0,5,1,2,5750,5.07161325,103.3655073
2,8,67.65451,33.368815,2932.893799,0,0,0,0,0,0,1,80,5,0,6,3,2,10150,5.0887425,101.9250928
2,8,67.541375,32.956073,2442.325684,0,1,1,0,1,0,1,45,2,0,4,1,2,-26100,9.8786145,41.33291925
2,8,67.217675,33.200575,2970.23877,0,0,1,1,1,0,1,23,3,0,3,1,2,-22250,5.1408485,97.2285805
2,8,67.438128,32.975405,2532.930664,0,0,0,1,1,1,1,37,3,0,4,1,2,25550,9.1986725,51.3148175
2,8,67.464435,33.045967,2593.375488,0,0,1,0,1,0,1,66,2,0,8,1,2,-2790,8.58701225,58.21509625
2,8,67.470575,33.084103,2642.362549,0,0,0,0,1,1,1,29,1,0,4,0,1,4650,7.71852225,70.7603875
2,8,67.474395,33.085803,2642.362549,0,0,0,0,1,1,1,23,1,0,7,2,1,10150,7.71852225,70.7603875
2,8,67.537062,32.97135,2443.808838,0,1,0,0,1,0,1,63,1,0,6,1,2,0,9.75193125,42.064662
